Step,Intersection,Total Cars,Waiting Cars,Average Speed,Waiting Time
12.0,tlshoria_square1,0,0,22.22,0.0
12.0,tlshoria_square2,0,0,22.22,0.0
12.0,tlshoria_square3,0,0,22.22,0.0
12.0,tlslasilky_square,0,0,27.78,0.0
12.0,tlslasilky_square2,0,0,27.78,0.0
12.0,tlslasilky_square3,0,0,27.78,0.0
12.0,tlsmoomen,0,0,22.22,0.0
12.0,tlsmoomen2,0,0,25.0,0.0
12.0,tlsmoomen3,0,0,25.93,0.0
12.0,tlsnasser_square,0,0,20.82,0.0
13.0,tlshoria_square1,0,0,22.22,0.0
13.0,tlshoria_square2,0,0,22.22,0.0
13.0,tlshoria_square3,0,0,22.22,0.0
13.0,tlslasilky_square,0,0,27.78,0.0
13.0,tlslasilky_square2,0,0,27.78,0.0
13.0,tlslasilky_square3,0,0,27.78,0.0
13.0,tlsmoomen,0,0,22.22,0.0
13.0,tlsmoomen2,0,0,25.0,0.0
13.0,tlsmoomen3,0,0,25.93,0.0
13.0,tlsnasser_square,0,0,20.82,0.0
14.0,tlshoria_square1,0,0,22.22,0.0
14.0,tlshoria_square2,0,0,22.22,0.0
14.0,tlshoria_square3,0,0,22.22,0.0
14.0,tlslasilky_square,0,0,27.78,0.0
14.0,tlslasilky_square2,0,0,27.78,0.0
14.0,tlslasilky_square3,0,0,27.78,0.0
14.0,tlsmoomen,0,0,22.22,0.0
14.0,tlsmoomen2,0,0,25.0,0.0
14.0,tlsmoomen3,0,0,25.93,0.0
14.0,tlsnasser_square,0,0,20.82,0.0
15.0,tlshoria_square1,0,0,22.22,0.0
15.0,tlshoria_square2,0,0,22.22,0.0
15.0,tlshoria_square3,0,0,22.22,0.0
15.0,tlslasilky_square,0,0,27.78,0.0
15.0,tlslasilky_square2,0,0,27.78,0.0
15.0,tlslasilky_square3,0,0,27.78,0.0
15.0,tlsmoomen,0,0,22.22,0.0
15.0,tlsmoomen2,0,0,25.0,0.0
15.0,tlsmoomen3,0,0,25.93,0.0
15.0,tlsnasser_square,0,0,20.82,0.0
16.0,tlshoria_square1,0,0,22.22,0.0
16.0,tlshoria_square2,0,0,22.22,0.0
16.0,tlshoria_square3,0,0,22.22,0.0
16.0,tlslasilky_square,0,0,27.78,0.0
16.0,tlslasilky_square2,0,0,27.78,0.0
16.0,tlslasilky_square3,0,0,27.78,0.0
16.0,tlsmoomen,0,0,22.22,0.0
16.0,tlsmoomen2,0,0,25.0,0.0
16.0,tlsmoomen3,0,0,25.93,0.0
16.0,tlsnasser_square,0,0,20.82,0.0
17.0,tlshoria_square1,0,0,22.22,0.0
17.0,tlshoria_square2,0,0,22.22,0.0
17.0,tlshoria_square3,0,0,22.22,0.0
17.0,tlslasilky_square,0,0,27.78,0.0
17.0,tlslasilky_square2,0,0,27.78,0.0
17.0,tlslasilky_square3,0,0,27.78,0.0
17.0,tlsmoomen,0,0,22.22,0.0
17.0,tlsmoomen2,0,0,25.0,0.0
17.0,tlsmoomen3,0,0,25.93,0.0
17.0,tlsnasser_square,0,0,20.82,0.0
18.0,tlshoria_square1,0,0,22.22,0.0
18.0,tlshoria_square2,0,0,22.22,0.0
18.0,tlshoria_square3,0,0,22.22,0.0
18.0,tlslasilky_square,0,0,27.78,0.0
18.0,tlslasilky_square2,0,0,27.78,0.0
18.0,tlslasilky_square3,0,0,27.78,0.0
18.0,tlsmoomen,0,0,22.22,0.0
18.0,tlsmoomen2,0,0,25.0,0.0
18.0,tlsmoomen3,0,0,25.93,0.0
18.0,tlsnasser_square,0,0,20.82,0.0
19.0,tlshoria_square1,0,0,22.22,0.0
19.0,tlshoria_square2,0,0,22.22,0.0
19.0,tlshoria_square3,0,0,22.22,0.0
19.0,tlslasilky_square,0,0,27.78,0.0
19.0,tlslasilky_square2,0,0,27.78,0.0
19.0,tlslasilky_square3,0,0,27.78,0.0
19.0,tlsmoomen,0,0,22.22,0.0
19.0,tlsmoomen2,0,0,25.0,0.0
19.0,tlsmoomen3,0,0,25.93,0.0
19.0,tlsnasser_square,0,0,20.82,0.0
20.0,tlshoria_square1,0,0,22.22,0.0
20.0,tlshoria_square2,0,0,22.22,0.0
20.0,tlshoria_square3,0,0,22.22,0.0
20.0,tlslasilky_square,0,0,27.78,0.0
20.0,tlslasilky_square2,0,0,27.78,0.0
20.0,tlslasilky_square3,0,0,27.78,0.0
20.0,tlsmoomen,0,0,22.22,0.0
20.0,tlsmoomen2,0,0,25.0,0.0
20.0,tlsmoomen3,0,0,25.93,0.0
20.0,tlsnasser_square,0,0,20.82,0.0
21.0,tlshoria_square1,0,0,22.22,0.0
